GCF_058806655.1_ASM5880665v1_genomic	GCF_058806655.1
GCF_059070485.1_ASM5907048v1_genomic	GCF_059070485.1
GCF_900110945.1_IMG-taxon_2690315612_annotated_assembly_genomic	GCF_900110945.1
GCF_900112505.1_IMG-taxon_2617270931_annotated_assembly_genomic	GCF_900112505.1
GCF_900116545.1_IMG-taxon_2675903690_annotated_assembly_genomic	GCF_900116545.1
GCF_900128975.1_IMG-taxon_2582580747_annotated_assembly_genomic	GCF_900128975.1
GCF_900177655.1_IMG-taxon_2708742467_annotated_assembly_genomic	GCF_900177655.1
GCF_900631955.1_aCIP1116281.1_genomic	GCF_900631955.1
GCF_964252795.1_LjRoot16v2_genomic	GCF_964252795.1
GCF_964252865.1_LjRoot3v2_genomic	GCF_964252865.1
GCF_965229025.1_piParBurs1.Devosia_sp_1.1_genomic	GCF_965229025.1
GCF_977014175.1_Ri144_genomic	GCF_977014175.1
